Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2009;year;    12.76;    12.73;    29.28;    26.92;    22.43;    11.58;    15.93;    15.94;    24.09;    23.35;    16.58;    28.51;    19.78;    14.53;    17.38;    21.11;    20.95;
2010;year;    20.80;    20.93;    29.28;    27.92;    21.75;    19.88;    19.68;    19.71;    23.72;    22.68;    24.14;    30.81;    27.50;    20.57;    21.89;    23.62;    23.98;
2011;year;    17.63;    17.58;    25.76;    25.86;    16.31;    19.45;    18.06;    18.13;    21.22;    17.16;    26.44;    20.74;    17.39;    13.25;    14.30;    15.68;    20.56;
2012;year;    10.53;    10.52;    31.20;    26.98;    20.89;     9.44;    16.77;    16.75;    21.86;    21.38;    18.70;    28.43;    17.76;    11.00;    14.23;    18.45;    20.18;
2013;year;    13.80;    13.83;    30.79;    27.76;    22.06;    16.50;    17.25;    17.32;    18.58;    23.52;    22.20;    29.85;    20.15;    15.85;    17.85;    20.46;    21.65;
2014;year;    11.16;    11.25;    27.48;    24.63;    21.64;    14.10;    16.89;    16.85;    22.58;    22.43;    22.14;    26.02;    15.36;    12.91;    15.21;    18.22;    19.99;
2015;year;    12.89;    12.94;    21.01;    22.07;    14.96;    14.32;    21.37;    21.39;    22.48;    16.33;    25.89;    18.50;    16.10;    13.32;    13.47;    13.66;    18.83;
2016;year;     9.71;     9.74;    28.69;    26.66;    16.85;     9.11;    14.84;    14.89;    19.72;    21.64;    18.20;    28.77;    18.09;     9.48;    12.17;    15.67;    18.88;
2017;year;    17.00;    16.97;    29.93;    30.38;    24.57;    18.76;    23.67;    23.68;    23.56;    22.75;    28.73;    28.67;    19.51;    14.70;    17.72;    21.66;    24.17;
2018;year;     8.24;     8.25;    23.11;    22.63;    15.31;     9.31;    12.01;    12.00;    16.51;    18.24;    13.36;    27.40;    11.42;     6.60;     9.26;    12.74;    15.57;
2019;year;    11.39;    11.34;    28.77;    25.02;    18.69;    13.40;    16.53;    16.53;    20.93;    20.00;    19.92;    28.25;    15.01;    10.15;    12.85;    16.37;    19.32;
2020;year;    11.27;    11.29;    26.46;    26.57;    17.22;    13.11;    16.80;    16.78;    18.19;    19.51;    20.65;    28.21;    16.07;    10.33;    13.57;    17.80;    19.19;
2021;year;    11.85;    11.92;    29.58;    28.46;    18.04;    13.79;    19.31;    19.33;    20.73;    20.41;    23.05;    26.15;    19.56;    13.04;    15.93;    19.70;    21.17;
2022;year;     8.08;     8.13;    25.66;    23.97;    19.32;    10.30;    15.85;    15.87;    20.81;    21.05;    18.96;    26.69;    12.85;     7.42;    10.69;    14.96;    17.92;
