Jahr;Monat,brandenburg/berlin,brandenburg,baden-wuerttemberg,bayern,hessen,mecklenburg-vorpommern,niedersachsen,niedersachsen/hamburg/bremen,nordrhein-westfalen,rheinland-pfalz,schleswig-holstein,saarland,sachsen,sachsen-anhalt,thueringen/sachsen-anhalt,thueringen,deutschland
196712,1.12,1.11,-1.07,-1.50,0.12,1.36,1.89,1.90,1.64,0.45,2.09,0.36,-0.05,1.17,0.42,-0.53,0.36
196812,-2.31,-2.32,-1.83,-3.14,-1.83,-2.07,-1.40,-1.39,-0.64,-1.18,-1.25,-0.67,-2.52,-2.24,-2.54,-2.92,-2.01
196912,-6.09,-6.10,-4.35,-5.64,-4.29,-5.48,-3.81,-3.80,-2.63,-3.05,-3.61,-2.60,-5.95,-5.53,-5.67,-5.85,-4.69
197012,1.56,1.55,-0.91,-1.51,0.19,2.19,1.68,1.69,1.37,0.36,2.49,0.58,0.20,1.30,0.61,-0.25,0.46
197112,4.49,4.48,1.97,1.87,3.32,4.77,4.89,4.90,4.76,3.12,5.37,2.92,3.38,4.36,3.74,2.96,3.56
197212,1.08,1.08,-0.77,-1.38,0.38,1.96,2.52,2.53,2.79,0.84,2.93,1.04,0.74,1.34,0.72,-0.06,0.79
197312,0.45,0.44,-0.73,-1.65,-0.12,0.85,1.58,1.58,1.72,0.47,1.59,0.66,-0.32,0.74,0.05,-0.83,0.15
197412,5.19,5.18,3.88,3.12,4.92,5.17,6.12,6.13,6.23,5.21,5.71,5.28,4.29,5.55,4.93,4.16,4.81
197512,2.47,2.45,-0.39,-1.12,0.84,2.94,3.08,3.10,2.15,0.64,3.73,0.53,1.04,2.29,1.51,0.52,1.23
197612,-0.41,-0.41,-1.84,-2.92,-1.09,-0.28,0.12,0.13,0.27,-0.84,0.08,-0.57,-1.15,-0.33,-0.88,-1.57,-1.04
197712,2.56,2.54,1.31,0.23,1.76,3.01,3.55,3.56,3.84,2.31,3.61,2.52,1.14,2.69,2.02,1.18,2.11
197812,-0.70,-0.70,1.11,0.14,0.70,-0.77,0.17,0.17,1.45,1.35,-0.05,1.84,-0.29,-0.23,-0.27,-0.31,0.28
197912,3.80,3.79,3.69,3.14,3.95,3.28,4.43,4.42,4.85,4.18,3.52,4.21,3.67,4.17,3.78,3.28,3.82
198012,1.42,1.41,-0.71,-1.32,0.38,1.80,2.20,2.21,2.26,0.65,2.30,0.48,0.39,1.43,0.68,-0.25,0.67
198112,-3.07,-3.09,-0.87,-2.46,-1.95,-3.06,-2.46,-2.47,-0.86,-0.78,-3.21,0.14,-3.00,-2.86,-3.00,-3.18,-2.21
198212,2.44,2.43,2.26,1.44,2.11,2.22,2.76,2.76,2.90,2.41,2.72,2.61,1.93,2.63,2.16,1.57,2.23
198312,0.53,0.52,0.17,-1.05,0.49,0.57,2.03,2.02,2.72,1.35,1.45,1.72,0.39,1.00,0.42,-0.30,0.67
198412,0.31,0.30,1.06,0.02,1.55,0.66,2.25,2.24,3.20,1.84,1.93,1.98,0.34,1.09,0.88,0.61,1.19
198512,3.87,3.86,3.07,2.31,3.51,3.54,4.79,4.79,5.03,3.79,4.07,3.86,3.73,4.28,3.72,3.01,3.65
198612,2.08,2.07,1.60,0.41,2.20,2.34,3.21,3.21,3.54,2.70,3.02,2.90,1.32,2.44,1.98,1.39,2.05
198712,2.20,2.19,1.88,1.01,1.97,2.31,3.16,3.17,3.42,2.44,2.73,2.48,1.48,2.44,1.89,1.19,2.14
198812,3.28,3.27,2.73,1.76,3.70,3.55,4.64,4.65,5.21,4.44,4.48,4.44,2.23,3.54,3.05,2.44,3.38
198912,2.34,2.33,2.02,0.95,2.75,2.17,3.24,3.24,4.15,3.07,2.72,3.36,2.31,2.85,2.51,2.09,2.42
199012,0.91,0.91,-0.23,-1.17,0.66,1.52,2.49,2.50,2.35,1.02,2.65,1.26,0.00,1.24,0.64,-0.11,0.77
199112,1.50,1.49,-0.64,-1.71,0.37,1.98,2.43,2.44,2.34,0.77,2.64,1.07,0.05,1.54,0.78,-0.17,0.68
199212,0.87,0.87,0.94,-0.33,1.34,1.54,2.44,2.45,2.76,1.97,2.76,2.60,0.37,1.50,1.02,0.41,1.25
199312,3.29,3.28,3.53,2.44,3.28,2.84,3.71,3.71,4.10,3.81,3.13,4.16,2.89,3.41,2.99,2.46,3.23
199412,3.58,3.58,3.54,2.35,3.76,3.58,4.39,4.40,4.76,4.31,4.09,4.68,3.06,3.96,3.55,3.05,3.61
199512,-3.10,-3.11,-0.47,-1.61,-1.32,-3.38,-2.20,-2.20,-0.90,-0.39,-2.36,0.32,-2.59,-2.37,-2.52,-2.70,-1.83
199612,-2.96,-2.97,-2.00,-3.49,-2.24,-2.08,-1.39,-1.38,-0.94,-1.50,-0.78,-0.98,-4.08,-2.90,-3.29,-3.77,-2.36
199712,1.92,1.91,2.07,1.22,2.32,1.95,3.04,3.05,3.66,2.75,2.87,2.92,1.53,2.11,1.77,1.34,2.20
199812,0.62,0.61,0.81,-0.38,1.16,0.57,2.06,2.06,2.89,1.85,1.39,1.93,0.29,1.17,0.77,0.27,0.99
199912,2.51,2.50,1.48,0.52,2.23,2.55,3.46,3.46,3.44,2.44,3.00,2.35,1.65,2.89,2.32,1.59,2.17
200012,2.86,2.85,3.50,1.75,3.01,3.25,3.89,3.89,4.49,3.85,3.95,4.31,2.49,3.16,2.75,2.22,3.12
200112,-0.24,-0.25,-0.70,-1.97,0.02,0.32,1.17,1.16,1.51,0.53,0.84,0.60,-1.49,0.04,-0.43,-1.03,-0.21
200212,-2.11,-2.12,2.66,0.73,1.30,-1.62,-0.19,-0.20,2.09,2.88,-0.18,3.56,-1.84,-1.38,-1.20,-0.97,0.34
200312,2.34,2.33,0.91,0.12,1.63,2.85,2.96,2.97,3.07,2.16,3.33,2.60,1.29,2.21,1.65,0.94,1.81
200412,2.11,2.10,-0.06,-0.74,0.21,3.08,2.62,2.64,1.70,0.37,3.34,0.44,0.78,1.85,1.12,0.19,1.08
200512,1.10,1.09,-0.32,-1.18,1.00,1.54,2.64,2.65,2.47,1.16,2.45,1.25,0.27,1.46,0.95,0.31,0.87
200612,5.39,5.38,2.98,2.13,4.09,6.04,6.15,6.16,5.43,4.06,6.69,4.17,4.30,5.41,4.76,3.94,4.43
200712,2.16,2.15,0.40,-0.19,1.29,2.78,3.01,3.02,2.80,1.57,3.44,1.61,1.08,2.14,1.59,0.91,1.59
200812,1.70,1.69,0.24,0.07,0.61,2.10,1.85,1.86,1.50,0.74,2.61,0.95,1.08,1.45,0.92,0.26,1.06
200912,-0.11,-0.12,0.55,-0.45,0.46,0.06,0.87,0.87,1.36,1.17,0.87,1.54,-0.41,0.12,-0.10,-0.38,0.32
201012,-4.65,-4.66,-2.33,-3.71,-3.52,-4.31,-3.62,-3.62,-2.88,-2.57,-3.79,-2.08,-4.81,-4.42,-4.58,-4.79,-3.66
